Account,active_days,total_trades,avg_trades_per_day,avg_trade_size_usd,avg_leverage_proxy,positive_day_rate,total_pnl_usd,mean_daily_pnl_usd,pnl_volatility_usd,mean_win_rate,leverage_segment,activity_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,19,3397,178.78947368421052,27762.85738870849,1.4303514937771222,0.631578947368421,1474579.703239,77609.45806521052,167976.00996148295,0.7095421229855192,Low leverage-proxy,Frequent,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47,6560,139.5744680851064,4610.545874185331,3.046031733186938,0.5531914893617021,59818.400639,1272.7319284893617,3194.021986786766,0.8003561397571056,Low leverage-proxy,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,10,3210,321.0,11850.43300630483,2.09072897917586,0.8,-51397.85075699999,-5139.7850757,36625.74338240863,0.8912324594278732,Low leverage-proxy,Frequent,Consistent winners
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,137,12424,90.68613138686132,460.15920216606486,2.370480336658696,0.8832116788321168,126959.06519,926.7085050364963,3242.006542782016,0.8766590175532023,Low leverage-proxy,Frequent,Consistent winners
0x2c229d22b100a7beb69122eed721cee9b24011dd,61,2224,36.459016393442624,2486.135214794749,5.869533334903108,0.7868852459016393,126365.161918,2071.560031442623,3977.3878670352883,0.7647764815246598,High leverage-proxy,Infrequent,Consistent winners
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,37,782,21.135135135135137,1764.502480704279,3.001178691088738,0.2972972972972973,-29974.692881999996,-810.1268346486486,10908.944879505383,0.6563987408389685,Low leverage-proxy,Infrequent,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,40,3317,82.925,29236.782384331927,6.469669367424956,0.525,3503.671375999996,87.59178439999991,15638.948451871118,0.8069788670452013,High leverage-proxy,Infrequent,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,26,330,12.692307692307692,8115.9637287670175,7.962098190727035,0.5384615384615384,45477.084147,1749.1186210384617,5860.574107020638,1.0,High leverage-proxy,Infrequent,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,17,335,19.705882352941178,8966.708070886649,4.722069755167082,0.5294117647058824,125211.929227,7365.407601588236,15342.833642563328,1.0,Low leverage-proxy,Infrequent,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,23,1103,47.95652173913044,2576.5852190229866,1.4631730509712513,0.21739130434782608,357580.49261099997,15546.977939608694,35499.63435543006,1.0,Low leverage-proxy,Infrequent,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,118,7863,66.63559322033899,528.2746628204452,2.032759271921016,0.8305084745762712,99314.47447300001,841.6480887542374,2727.95796984093,0.8116520416165539,Low leverage-proxy,Infrequent,Consistent winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,49,3684,75.18367346938776,17774.31806894655,3.4957359902746914,0.6530612244897959,580366.959712,11844.223667591836,26697.694757669222,0.8951215451215451,Low leverage-proxy,Infrequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,270,6307,23.35925925925926,16014.012631360021,4.402517491423161,0.5888888888888889,263461.546495,975.7835055370371,7701.817498570089,0.9573064497904036,Low leverage-proxy,Infrequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,32,9719,303.71875,28580.860422511505,1.5513431972077392,0.5,459092.06116599997,14346.626911437499,31452.522069209917,0.8291350909892727,Low leverage-proxy,Frequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,42,914,21.761904761904763,884.3349107442327,9.397333584082425,0.5952380952380952,107473.095849,2558.8832345,7874.812878033853,0.9497863247863247,High leverage-proxy,Infrequent,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,18,1511,83.94444444444444,9813.157487984416,1.7596692406463517,0.2222222222222222,429355.565915,23853.086995277776,82348.27037081402,0.5299145299145299,Low leverage-proxy,Infrequent,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,55,1367,24.854545454545455,4887.947365485771,3.1755873415184395,0.2909090909090909,365066.208498,6637.567427236363,25319.924402160348,0.829805797917253,Low leverage-proxy,Infrequent,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,123,8429,68.52845528455285,3575.2588971912032,5.6700239097741045,0.9186991869918699,381701.363182,3103.263115300813,4574.927493359259,0.8900018630170686,High leverage-proxy,Infrequent,Consistent winners
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,22,1455,66.13636363636364,5481.639990476245,7.778256809126723,0.6363636363636364,15295.499025000001,695.2499556818183,875.068852261587,0.9633945756780402,High leverage-proxy,Infrequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,71,3655,51.478873239436616,2825.121712135312,1.261588519426533,0.4507042253521127,-215231.585525,-3031.4307820422537,43263.57466219009,0.7898870277101107,Low leverage-proxy,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,39,481,12.333333333333334,4944.931692718496,7.208625263236931,0.2564102564102564,52553.547948,1347.5268704615385,6459.683048870561,0.7277777777777777,High leverage-proxy,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,149,12803,85.9261744966443,867.0510364489138,9.315697685003704,0.7785234899328859,43108.666259,289.3199077785235,3594.475532547747,0.8803248902130327,High leverage-proxy,Infrequent,Consistent winners
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,17,3007,176.88235294117646,12657.958003878717,3.4302459049007656,0.4117647058823529,126578.942134,7445.820125529412,16022.499912254798,0.8688811188811189,Low leverage-proxy,Frequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,47,10206,217.14893617021278,1331.6573591251065,2.0193313166546902,0.7021276595744681,96835.853619,2060.337311042553,2783.210363092454,0.9858986420559827,Low leverage-proxy,Frequent,Consistent winners
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,35,413,11.8,2113.0477659243757,5.837775631995627,0.45714285714285713,72900.115626,2082.8604464571426,7725.683520153727,0.6956521739130435,High leverage-proxy,Infrequent,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,563,37.53333333333333,2959.4760618012087,1.9881808602756375,0.4666666666666667,67845.619531,4523.0413020666665,8542.120511787452,1.0,Low leverage-proxy,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,16,482,30.125,10950.762971327225,6.478983633738022,0.5625,14601.148174,912.571760875,1975.204374729902,0.8562367864693446,High leverage-proxy,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,213,11276,52.93896713615023,4691.193963792473,5.207187882859439,0.5117370892018779,1742073.162996,8178.747244112676,42199.45730663646,0.8054566670873945,Low leverage-proxy,Infrequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,29,4524,156.0,27697.451291023608,3.107334188333538,0.7931034482758621,18470.551893,636.9155825172413,13610.621464884076,0.881425896709213,Low leverage-proxy,Frequent,Consistent winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,24,16922,705.0833333333334,4122.112182150945,2.109395422553879,0.75,882795.026094,36783.12608725,80288.11316060844,0.9392717240833264,Low leverage-proxy,Frequent,Consistent winners
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,58,2228,38.41379310344828,10314.11532003312,1.5907944046696119,0.27586206896551724,310821.61557100003,5358.993371913793,28017.650010420184,0.5603747066492829,Low leverage-proxy,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,105,32041,305.15238095238095,1774.1975359075536,1.610738171096502,0.8,808963.870413,7704.417813457143,28449.30764896877,0.8081690595758012,Low leverage-proxy,Frequent,Consistent winners
